名称,仕様等,単価,販売コード,URL
タイミングベルト,-,"1,848",TBO-XL025-360,https://jp.misumi-ec.com/vona2/detail/110300414430/?PNSearch=TBO-XL025-360&HissuCode=TBO-XL025-360&Keyword=TBO-XL025-360&list=SuggestPreview&searchFlow=suggest2products
ベアリング,外形8内径3幅4,175,88927447,https://www.monotaro.com/p/8892/7447/?t.q=88927447
チョコレート用注射器,50ml,384,60949061,https://www.monotaro.com/p/6094/9061/?t.q=60949061
空気押し出し用注射器,"25ml ダイソー, セリアで存在確認",100,-,https://jp.daisonet.com/products/4974012001019?_pos=29&_sid=f10b09b86&_ss=r
エアチューブ,外形6内径4,703,5843311,https://www.monotaro.com/p/0584/3311/?t.q=05843311
ステッピングモータドライバ,TMC2208,"2,699",-,https://amzn.asia/d/dgjtnh2
C14コンセントコネクタ,-,998,-,https://amzn.asia/d/5eb9IL5
インサートナット,M3 外径5高さ3,"1,389",-,https://amzn.asia/d/7C5mvrM
XAコネクタ 小電流用,,-,-,https://www.jst-mfg.com/product/index.php?series=272
XTコネクタ 大電流用,,-,-,https://akizukidenshi.com/catalog/c/cxttconne/
マイコン,,1200,-,https://akizukidenshi.com/catalog/g/g117947/
DCDCコンバータ,,1320,-,https://akizukidenshi.com/catalog/g/g107728/
SDカードスロット,,300,-,https://akizukidenshi.com/catalog/g/g105488/
